# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Aug 19 15:48:34 2022
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_radestr < 5
# CONSTRAINT:  and pl_bmassestr > 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN rv_flag:        Detected by Radial Velocity Variations
# COLUMN tran_flag:      Detected by Transits
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,rv_flag,tran_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
Kepler-138 b,Kepler-138,1,1,3,Transit,2014,Kepler,0,1,Published Confirmed,0,<a refstr=JONTOF_HUTTER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Natur.522..321J/abstract target=ref>Jontof-Hutter et al. 2015</a>,10.31260000,0.00040000,-0.00060000,0,,,,,0.522,0.032,-0.032,0,0.047,0.003,-0.003,0,0.06600,0.05900,-0.03700,0,0.00021,0.00019,-0.00012,0,Mass,,,,,6.81,0.84,-0.84,0,,,,,1,<a refstr=JONTOF_HUTTER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Natur.522..321J/abstract target=ref>Jontof-Hutter et al. 2015</a>,,3841.00,49.00,-49.00,0,0.44,0.02,-0.02,0,0.52,0.06,-0.06,0,-0.280,0.099,-0.099,0,[Fe/H],4.89,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h21m31.54s,290.3814122,+43d17m35.03s,43.2930645,66.8624000,0.1070000,-0.1070000,13.0400000,0.0920000,-0.0920000,9.5060000,0.0110000,-0.0110000,12.4715000,0.0002390,-0.0002390,2015-06-16,2015-06,2015-06-17
K2-266 c,K2-266,1,2,4,Transit,2018,K2,1,1,Published Confirmed,0,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,7.81400000,0.00190000,-0.00160000,0,0.067900,0.001100,-0.001100,0,0.705,0.096,-0.085,0,0.063,0.009,-0.008,0,0.29013,0.17008,-0.17008,0,0.00091,0.00054,-0.00054,0,Msin(i)/sin(i),0.042000,0.043000,-0.030000,0,32.40,1.60,-1.50,0,664,8,-8,0,0,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,,4285.00,49.00,-57.00,0,0.70,0.02,-0.02,0,0.69,0.03,-0.03,0,-0.120,0.400,-0.420,0,[Fe/H],4.58,0.03,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h31m44.56s,157.9356855,+00d56m14.20s,0.9372782,77.5586000,0.3581000,-0.3549000,11.6250000,0.0460000,-0.0460000,8.8970000,0.0230000,-0.0230000,11.3527000,0.0008590,-0.0008590,2018-10-24,2018-11,2018-10-26
TRAPPIST-1 h,TRAPPIST-1,1,1,7,Transit,2017,Multiple Observatories,0,1,Published Confirmed,0,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,18.77286600,0.00021400,-0.00021400,0,0.061890,0.000530,-0.000530,0,0.755,0.014,-0.014,0,0.067,0.001,-0.001,0,0.32600,0.02000,-0.02000,0,0.00103,0.00006,-0.00006,0,Mass,,,,,0.14,0.01,-0.01,0,,,,,1,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0,0.09,0.00,0.00,0,,,,,,5.24,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,,,17.0200000,0.2000000,-0.2000000,10.2960000,0.0230000,-0.0230000,15.6451000,0.0014480,-0.0014480,2021-09-08,2021-02,2021-09-08
LHS 1678 b,LHS 1678,1,2,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,1,Published Confirmed,0,<a refstr=SILVERSTEIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..151S/abstract target=ref>Silverstein et al. 2022</a>,0.86023220,0.00000680,-0.00000680,0,0.012510,0.000590,-0.000560,0,0.696,0.044,-0.044,0,0.062,0.004,-0.004,0,0.35000,,,1,0.00110,,,1,Mass,0.250000,,,1,93.20,9.30,-8.40,0,,,,,0,<a refstr=SILVERSTEIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..151S/abstract target=ref>Silverstein et al. 2022</a>,M2.0 V,3490.00,50.00,-50.00,0,0.33,0.01,-0.01,0,0.34,0.01,-0.01,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h32m42.96s,68.1789866,-39d47m27.15s,-39.7908744,19.8782000,0.0094000,-0.0094000,12.6000000,0.2000000,-0.2000000,8.2640000,0.0290000,-0.0290000,11.5403000,0.0005090,-0.0005090,2021-11-02,2022-04,2021-11-02
TRAPPIST-1 d,TRAPPIST-1,1,1,7,Transit,2016,La Silla Observatory,0,1,Published Confirmed,0,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,4.04921900,0.00002600,-0.00002600,0,0.022270,0.000190,-0.000190,0,0.788,0.011,-0.010,0,0.070,0.001,-0.001,0,0.38800,0.01200,-0.01200,0,0.00122,0.00004,-0.00004,0,Mass,,,,,1.11,0.04,-0.04,0,,,,,1,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0,0.09,0.00,0.00,0,,,,,,5.24,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,,,17.0200000,0.2000000,-0.2000000,10.2960000,0.0230000,-0.0230000,15.6451000,0.0014480,-0.0014480,2021-09-08,2021-02,2021-09-08
L 98-59 b,L 98-59,1,1,4,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..41D/abstract target=ref>Demangeon et al. 2021</a>,2.25311360,0.00000120,-0.00000150,0,0.021910,0.000800,-0.000840,0,0.850,0.061,-0.047,0,0.076,0.005,-0.004,0,0.40000,0.16000,-0.15000,0,0.00126,0.00050,-0.00047,0,Mass,0.103000,0.117000,-0.045000,0,24.70,5.00,-4.10,0,627,33,-36,0,0,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..41D/abstract target=ref>Demangeon et al. 2021</a>,M3 V,3415.00,135.00,-135.00,0,0.30,0.03,-0.02,0,0.27,0.03,-0.03,0,-0.460,0.260,-0.260,0,[Fe/H],4.86,0.13,-0.13,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h18m07.89s,124.5328604,-68d18m52.08s,-68.3144658,10.6194000,0.0032000,-0.0032000,11.6850000,0.0170000,-0.0170000,7.1010000,0.0180000,-0.0180000,10.5976000,0.0007650,-0.0007650,2021-08-23,2021-09,2021-08-23
KOI-55 b,KOI-55,1,1,2,Orbital Brightness Modulation,2011,Kepler,0,0,Published Confirmed,1,<a refstr=CHARPINET_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Natur.480..496C/abstract target=ref> Charpinet et al. 2011 </a>,0.24010400,0.00000400,-0.00000400,0,0.006000,,,0,0.759,,,0,0.068,,,0,0.44000,,,0,0.00140,,,0,Mass,,,,,,,,,,,,,0,<a refstr=CHARPINET_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Natur.480..496C/abstract target=ref> Charpinet et al. 2011 </a>,B,27730.00,270.00,-270.00,0,0.20,0.01,-0.01,0,0.50,0.00,0.00,0,,,,,,5.52,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h45m25.48s,296.3561853,+41d05m33.83s,41.0927315,1231.0200000,48.0150000,-48.0150000,15.1540000,0.1500000,-0.1500000,15.4950000,,,14.9062000,0.0006020,-0.0006020,2014-05-14,2011-12,2014-05-14
GJ 367 b,GJ 367,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=LAM_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...374.1271L/abstract target=ref>Lam et al. 2021</a>,0.32196200,0.00001000,-0.00001200,0,0.007100,0.000200,-0.000200,0,0.718,0.054,-0.054,0,0.064,0.005,-0.005,0,0.54600,0.07800,-0.07800,0,0.00172,0.00025,-0.00025,0,Mass,0.000000,,,0,,,,,1745,43,-43,0,0,<a refstr=LAM_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...374.1271L/abstract target=ref>Lam et al. 2021</a>,M1.0 V,3522.00,70.00,-70.00,0,0.46,0.01,-0.01,0,0.45,0.01,-0.01,0,-0.010,0.120,-0.120,0,[Fe/H],4.78,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h44m29.15s,146.1214640,-45d46m44.46s,-45.7790165,9.4126300,0.0028350,-0.0028350,10.1530000,0.0440000,-0.0440000,5.7800000,0.0200000,-0.0200000,9.1515900,0.0006500,-0.0006500,2021-12-02,2021-12,2021-12-02
Kepler-138 d,Kepler-138,1,1,3,Transit,2014,Kepler,0,1,Published Confirmed,0,<a refstr=JONTOF_HUTTER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Natur.522..321J/abstract target=ref>Jontof-Hutter et al. 2015</a>,23.08810000,0.00090000,-0.00080000,0,,,,,1.212,0.075,-0.075,0,0.108,0.007,-0.007,0,0.64000,0.67400,-0.38700,0,0.00201,0.00212,-0.00122,0,Mass,,,,,2.32,0.29,-0.29,0,,,,,1,<a refstr=JONTOF_HUTTER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Natur.522..321J/abstract target=ref>Jontof-Hutter et al. 2015</a>,,3841.00,49.00,-49.00,0,0.44,0.02,-0.02,0,0.52,0.06,-0.06,0,-0.280,0.099,-0.099,0,[Fe/H],4.89,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h21m31.54s,290.3814122,+43d17m35.03s,43.2930645,66.8624000,0.1070000,-0.1070000,13.0400000,0.0920000,-0.0920000,9.5060000,0.0110000,-0.0110000,12.4715000,0.0002390,-0.0002390,2015-06-16,2015-06,2015-06-17
KOI-55 c,KOI-55,1,1,2,Orbital Brightness Modulation,2011,Kepler,0,0,Published Confirmed,1,<a refstr=CHARPINET_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Natur.480..496C/abstract target=ref> Charpinet et al. 2011 </a>,0.34288700,0.00001300,-0.00001300,0,0.007600,,,0,0.867,,,0,0.077,,,0,0.65500,,,0,0.00210,,,0,Mass,,,,,,,,,,,,,0,<a refstr=CHARPINET_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Natur.480..496C/abstract target=ref> Charpinet et al. 2011 </a>,B,27730.00,270.00,-270.00,0,0.20,0.01,-0.01,0,0.50,0.00,0.00,0,,,,,,5.52,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h45m25.48s,296.3561853,+41d05m33.83s,41.0927315,1231.0200000,48.0150000,-48.0150000,15.1540000,0.1500000,-0.1500000,15.4950000,,,14.9062000,0.0006020,-0.0006020,2014-05-14,2011-12,2014-05-14
